468,122
485,125
490,128
494,135
498,134
500,138
504,135
514,141
517,146
530,148
538,150
542,147
556,148
565,142
576,145
580,142
584,149
591,156
588,160
600,174
608,176
604,180
608,184
604,186
602,192
610,196
614,200
618,213
616,214
618,220
614,219
612,225
607,228
608,230
607,232
610,238
609,240
612,242
618,247
618,250
624,252
631,260
631,266
624,274
622,272
617,272
604,288
598,288
586,280
584,279
574,278
574,283
568,282
566,286
552,284
540,264
528,262
521,264
516,260
517,254
513,254
504,235
506,222
499,218
499,216
488,209
484,202
484,192
479,187
477,180
472,180
468,174
462,170
466,168
466,160
471,160
474,154
479,155
478,147
472,142
474,134
468,122
