614,502
610,501
608,496
600,490
596,482
591,468
584,466
574,456
574,449
572,449
572,424
562,412
560,404
554,403
556,400
552,398
552,392
537,392
532,388
529,380
534,372
537,370
531,366
546,356
556,356
560,349
560,343
576,340
575,336
580,326
572,314
580,304
574,298
578,297
577,294
585,285
584,282
586,280
598,288
604,288
617,272
622,272
624,274
622,279
629,285
628,286
636,292
638,289
638,284
648,282
652,284
654,282
660,280
664,283
675,274
679,274
683,276
689,285
696,283
696,280
700,274
706,286
700,296
694,300
707,319
707,323
710,324
718,332
724,332
717,336
711,336
712,358
718,366
715,369
690,368
688,366
690,362
684,357
674,360
668,360
668,362
662,364
660,361
658,363
650,357
649,360
642,360
642,369
639,370
639,373
633,374
628,374
626,378
616,376
619,384
622,385
630,398
634,400
628,408
629,412
636,411
644,420
638,428
626,430
632,442
626,454
626,460
614,468
613,472
624,479
624,484
626,490
614,502
