247,504
249,486
246,472
255,465
264,468
264,466
270,464
271,466
274,464
274,462
285,454
292,454
297,458
311,450
312,448
318,446
317,436
312,432
312,426
308,414
313,414
319,406
324,406
329,400
339,399
353,395
353,391
358,391
366,391
367,383
372,382
376,376
380,376
388,364
392,364
394,368
400,364
400,358
406,359
406,352
416,348
420,326
420,314
416,303
408,297
405,298
402,294
402,290
398,288
400,276
406,286
412,292
422,295
429,308
427,310
432,313
436,319
436,324
442,327
444,326
450,326
454,330
453,334
468,342
468,356
474,355
482,368
480,374
462,378
460,384
462,390
466,392
466,398
454,397
450,401
456,406
459,406
460,410
462,411
460,414
456,430
446,440
448,447
457,452
457,454
465,460
464,464
468,470
464,476
466,479
470,483
468,486
464,484
457,488
466,498
463,502
456,502
447,512
448,516
437,520
432,513
429,514
426,506
421,510
416,508
416,504
413,503
412,500
409,500
405,490
397,489
390,494
384,491
380,498
376,500
358,491
352,491
352,494
345,497
343,495
334,496
334,509
318,508
310,515
307,520
306,518
302,529
298,534
294,554
282,546
278,540
265,539
264,545
256,550
239,546
245,530
250,528
248,524
244,523
246,516
247,504
